id,genre
904,marimba
905,marinera
906,marrabenta
907,martial industrial
908,martinetes
909,maskanda
910,mass
911,matamuerte
912,math rock
913,mathcore
914,matt bello
915,maxixe
916,mazurka
917,mbalax
918,mbaqanga
919,mbube
920,mbumba
921,medh
922,medieval folk rock
923,medieval metal
924,medieval music
925,meditation
926,mejorana
927,melhoun
928,melhûn
929,melodic black metal
930,melodic death metal
931,melodic hardcore
932,melodic metalcore
933,melodic music
934,melodic trance
935,memphis blues
936,memphis rap
937,memphis soul
938,mento
939,merengue
940,merengue típico moderno
941,merengue-bomba
942,meringue
943,merseybeat
944,metal
945,metalcore
946,metallic hardcore
947,mexican pop
948,mexican rock
949,mexican son
950,meykhana
951,mezwed
952,miami bass
953,microhouse
954,middle of the road
955,midwest hip hop
956,milonga
957,min'yo
958,mineras
959,mini compas
960,mini-jazz
961,minimal techno
962,minimalist music
963,minimalist trance
964,minneapolis sound
965,minstrel show
966,minuet
967,mirolóyia
968,modal jazz
969,modern classical music
970,modern laika
971,modern rock
972,modinha
973,mohabelo
974,montuno
975,monumental dance
976,mor lam
977,mor lam sing
978,morna
979,motorpop
980,motown
981,mozambique
982,mpb
983,mugam
984,multicultural
985,murga
986,musette
987,museve
988,mushroom jazz
989,music drama
990,music hall
991,musiqi-e assil
992,musique concrète
993,mutuashi
994,muwashshah
995,muzak
996,méringue
997,música campesina
998,música criolla
999,música de la interior
1000,música llanera
1001,música nordestina
1002,música popular brasileira
1003,música tropical
1004,nagauta
1005,nakasi
1006,nangma
1007,nanguan
1008,narcocorrido
1009,nardcore
1010,narodna muzika
1011,nasheed
1012,nashville sound
1013,nashville sound/countrypolitan
1014,national socialist black metal
1015,naturalismo
1016,nederpop
1017,neo soul
1018,neo-classical metal
1019,neo-medieval
1020,neo-prog
1021,neo-psychedelia
1022,neoclassical
1023,neoclassical music
1024,neofolk
1025,neotraditional country
1026,nerdcore
1027,neue deutsche härte
1028,neue deutsche welle
1029,new age music
1030,new beat
1031,new instrumental
1032,new jack swing
1033,new orleans blues
1034,new orleans jazz
1035,new pop
1036,new prog
1037,new rave
1038,new romantic
1039,new school hip hop
1040,new taiwanese song
1041,new wave
1042,new wave of british heavy metal
1043,new wave of new wave
1044,new weird america
1045,new york blues
1046,new york house
1047,newgrass
1048,nganja
1049,niche
1050,nightcore
1051,nintendocore
1052,nisiótika
1053,no wave
1054,noh
1055,noise music
1056,noise pop
1057,noise rock
1058,nongak
1059,norae undong
1060,nordic folk dance music
1061,nordic folk music
1062,nortec
1063,norteño
1064,northern soul
1065,nota
1066,nu breaks
1067,nu jazz
1068,nu metal
1069,nu soul
1070,nueva canción
1071,nyatiti
1072,néo kýma
1073,obscuro
1074,oi!
1075,old school hip hop
1076,old-time
1077,oldies
1078,olonkho
1079,oltului
1080,ondo
1081,opera
1082,operatic pop
1083,oratorio
1084,orchestra
1085,organ trio
1086,organic ambient
1087,organum
1088,orgel
1089,oriental metal
1090,ottava rima
1091,outlaw country
1092,outsider music
1093,p-funk
1094,pagan metal
1095,pagan rock
1096,pagode
1097,paisley underground
1098,palm wine
1099,palm-wine
1100,pambiche
1101,panambih
1102,panchai baja
1103,panchavadyam
1104,pansori
1105,paranda
1106,parang
1107,parody
1108,parranda
1109,partido alto
1110,pasillo
1111,patriotic
1112,peace punk
1113,pelimanni music
1114,petenera
1115,peyote song
1116,philadelphia soul
1117,piano blues
1118,piano rock
1119,piedmont blues
1120,pimba
1121,pinoy pop
1122,pinoy rock
1123,pinpeat orchestra
1124,piphat
1125,piyyutim
1126,plainchant
1127,plena
1128,pleng phua cheewit
1129,pleng thai sakorn
1130,political hip hop
1131,polka
1132,polo
1133,polonaise
1134,pols
1135,polska
1136,pong lang
1137,pop
1138,pop folk
1139,pop music
1140,pop punk
1141,pop rap
1142,pop rock
1143,pop sunda
1144,pornocore
1145,porro
1146,post disco
1147,post-britpop
1148,post-disco
1149,post-grunge
1150,post-hardcore
1151,post-industrial
1152,post-metal
1153,post-minimalism
1154,post-punk
1155,post-rock
1156,post-romanticism
1157,pow-wow
1158,power electronics
1159,power metal
1160,power noise
1161,power pop
1162,powerviolence
1163,ppongtchak
1164,praise song
1165,program symphony
1166,progressive bluegrass
1167,progressive country
1168,progressive death metal
1169,progressive electronic
1170,progressive electronic music
1171,progressive folk
1172,progressive folk music
1173,progressive house
1174,progressive metal
1175,progressive rock
1176,progressive trance
1177,protopunk
1178,psych folk
1179,psychedelic music
1180,psychedelic pop
1181,psychedelic rock
